Komoditas ,Beras,Telur Ayam,Cabai Rawit,Minyak Goreng
Jan  2018 (I),"13,250","32,250","38,500","15,700"
Jan  2018 (II),"13,350","32,500","38,400","15,700"
Jan  2018 (III),"13,400","32,150","36,400","15,650"
Jan  2018 (IV),"13,500","31,050","40,000","15,650"
Feb  2018 (I),"13,500","30,400","40,550","15,650"
Feb  2018 (II),"13,450","29,150","46,800","15,650"
Feb  2018 (III),"13,450","29,300","52,150","15,650"
Feb  2018 (IV),"13,450","30,000","54,550","15,650"
Mar  2018 (I),"13,450","29,900","65,300","15,650"
Mar  2018 (II),"13,450","29,750","78,950","15,650"
Mar  2018 (III),"13,450","29,500","73,450","15,650"
Mar  2018 (IV),"13,450","29,000","65,900","15,500"
Apr  2018 (V),"13,450","28,700","55,750","15,650"
Apr  2018 (I),"13,450","28,450","50,900","15,650"
Apr  2018 (II),"13,450","28,450","51,150","15,650"
Apr  2018 (III),"13,500","30,150","47,000","15,650"
Apr  2018 (IV),"13,500","30,400","49,300","15,650"
May  2018 (I),"13,500","30,500","46,300","15,650"
May  2018 (II),"13,500","31,250","48,050","15,650"
May  2018 (III),"13,500","32,800","64,400","15,650"
May  2018 (IV),"13,500","33,650","53,650","15,650"
Jun  2018 (I),"13,500","33,400","65,700","15,650"
Jun  2018 (II),"13,600","32,650","79,400","15,650"
Jun  2018 (III),"13,600","31,650","73,450","15,650"
Jun  2018 (IV),"13,650","31,300","67,200","15,650"
Jul  2018 (V),"13,650","30,050","72,200","15,650"
Jul  2018 (I),"13,650","30,000","75,500","15,650"
Jul  2018 (II),"13,650","31,650","76,250","15,650"
Jul  2018 (III),"13,600","33,750","74,150","15,700"
Jul  2018 (IV),"13,650","34,050","64,250","15,700"
Aug  2018 (I),"13,650","33,450","62,650","15,700"
Aug  2018 (II),"13,650","32,250","58,050","15,700"
Aug  2018 (III),"13,650","31,500","57,750","15,650"
Aug  2018 (IV),"13,650","31,200","58,400","15,650"
Sep  2018 (I),"13,550","30,700","53,400","15,650"
Sep  2018 (II),"13,550","30,900","50,000","15,650"
Sep  2018 (III),"13,550","30,500","46,550","15,600"
Sep  2018 (IV),"13,600","30,150","47,500","15,600"
Oct  2018 (V),"13,650","29,400","44,650","15,600"
Oct  2018 (I),"13,650","29,150","46,050","15,650"
Oct  2018 (II),"13,650","29,300","47,150","15,650"
Oct  2018 (III),"13,600","29,700","45,450","15,650"
Oct  2018 (IV),"13,600","29,900","46,900","15,550"
Nov  2018 (I),"13,550","29,700","46,700","15,600"
Nov  2018 (II),"13,550","30,050","52,500","15,600"
Nov  2018 (III),"13,550","30,000","61,450","15,600"
Nov  2018 (IV),"13,550","30,300","61,200","15,600"
Dec  2018 (I),"13,550","31,300","64,000","15,600"
Dec  2018 (II),"13,550","32,500","64,400","15,600"
Dec  2018 (III),"13,550","33,250","58,800","15,600"
Dec  2018 (IV),"13,550","34,150","76,550","15,600"
Dec  2018 (V),"13,550","34,050","66,800","15,600"
Jan  2019 (I),"13,300","33,650","60,950","15,550"
Jan  2019 (II),"13,550","33,500","53,150","15,450"
Jan  2019 (III),"13,450","33,200","45,800","15,450"
Jan  2019 (IV),"13,500","32,200","60,250","15,450"
Feb  2019 (I),"13,500","31,950","67,550","15,450"
Feb  2019 (II),"13,500","31,050","65,650","15,450"
Feb  2019 (III),"13,500","31,050","56,550","15,450"
Feb  2019 (IV),"13,550","30,800","51,400","15,450"
Mar  2019 (I),"13,450","30,800","52,400","15,450"
Mar  2019 (II),"13,450","30,800","58,450","15,400"
Mar  2019 (III),"13,550","30,550","60,750","15,300"
Mar  2019 (IV),"13,450","30,750","65,000","15,400"
Apr  2019 (V),"13,450","30,550","63,300","15,350"
Apr  2019 (I),"13,500","30,750","62,500","15,350"
Apr  2019 (II),"13,500","31,200","61,250","15,300"
Apr  2019 (III),"13,500","30,900","74,700","15,300"
Apr  2019 (IV),"13,450","30,750","62,500","15,300"
May  2019 (I),"13,450","32,650","70,500","15,300"
May  2019 (II),"13,450","32,950","62,400","15,300"
May  2019 (III),"13,200","32,950","64,700","15,150"
May  2019 (IV),"13,150","32,550","79,400","15,150"
Jun  2019 (I),"13,300","32,900","93,450","15,250"
Jun  2019 (II),"13,250","32,500","73,750","15,250"
Jun  2019 (III),"13,200","31,150","71,250","15,200"
Jun  2019 (IV),"13,250","30,450","71,900","15,150"
Jul  2019 (V),"13,250","29,950","67,400","15,150"
Jul  2019 (I),"13,250","30,900","65,050","15,150"
Jul  2019 (II),"13,250","31,150","70,950","15,150"
Jul  2019 (III),"13,250","31,000","84,050","15,150"
Jul  2019 (IV),"13,250","30,950","80,300","15,150"
Aug  2019 (I),"13,250","30,900","75,750","15,100"
Aug  2019 (II),"13,250","30,900","80,300","15,100"
Aug  2019 (III),"13,250","30,900","68,150","15,050"
Aug  2019 (IV),"13,250","30,950","68,150","15,150"
Sep  2019 (V),"13,300","30,800","69,650","15,150"
Sep  2019 (I),"13,300","30,650","62,650","15,150"
Sep  2019 (II),"13,250","30,700","63,450","15,150"
Sep  2019 (III),"13,250","30,500","58,750","15,150"
Sep  2019 (IV),"13,250","30,250","54,050","15,150"
Oct  2019 (I),"13,250","30,200","47,200","15,150"
Oct  2019 (II),"13,250","29,900","43,650","15,150"
Oct  2019 (III),"13,250","29,800","39,050","15,150"
Oct  2019 (IV),"13,200","29,400","36,700","14,900"
Nov  2019 (I),"13,200","29,400","46,250","14,900"
Nov  2019 (II),"13,200","29,800","64,550","14,900"
Nov  2019 (III),"13,250","29,750","58,550","14,850"
Nov  2019 (IV),"13,250","31,050","50,000","20,450"
Dec  2019 (V),"13,250","31,700","39,050","14,950"
Dec  2019 (I),"13,250","32,750","33,000","14,950"
Dec  2019 (II),"13,250","32,700","32,150","15,050"
Dec  2019 (III),"13,250","32,750","35,300","15,050"
Dec  2019 (IV),"13,250","32,950","28,900","15,050"
Jan  2020 (I),"13,250","32,150","26,950","15,050"
Jan  2020 (II),"13,250","31,950","27,400","15,050"
Jan  2020 (III),"13,250","31,300","28,450","15,150"
Jan  2020 (IV),"13,250","30,750","31,950","15,150"
Feb  2020 (I),"13,250","30,400","46,050","15,150"
Feb  2020 (II),"13,250","30,200","49,800","15,150"
Feb  2020 (III),"13,250","30,650","48,150","15,400"
Feb  2020 (IV),"13,250","31,650","47,500","15,400"
Mar  2020 (V),"13,300","32,450","36,950","15,400"
Mar  2020 (I),"13,300","32,900","29,800","15,250"
Mar  2020 (II),"13,300","32,500","32,550","15,250"
Mar  2020 (III),"13,300","32,500","31,900","15,250"
Mar  2020 (IV),"13,300","33,650","29,000","15,250"
Apr  2020 (I),"13,350","35,400","37,200","15,250"
Apr  2020 (II),"13,350","46,900","69,050","15,350"
Apr  2020 (III),"13,250","36,400","77,900","15,100"
Apr  2020 (IV),"13,300","36,150","98,650","15,150"
May  2020 (I),"13,300","33,400","110,400","15,150"
May  2020 (II),"13,400","33,000","95,800","15,400"
May  2020 (III),"13,650","31,900","67,100","15,650"
May  2020 (IV),,,,
Jun  2020 (V),,,,
Jun  2020 (I),"13,450","29,500","67,300","15,400"
Jun  2020 (II),"13,450","29,800","74,650","15,400"
Jun  2020 (III),"13,450","30,900","90,950","14,800"
Jun  2020 (IV),"13,400","31,000","88,750","15,450"
Jul  2020 (I),"13,450","32,250","75,950","15,400"
Jul  2020 (II),"13,400","32,400","77,750","15,500"
Jul  2020 (III),"13,450","32,800","71,700","15,400"
Jul  2020 (IV),"13,450","32,900","77,700","15,400"
Aug  2020 (I),"13,450","32,950","74,050","15,400"
Aug  2020 (II),"13,450","32,300","71,900","15,500"
Aug  2020 (III),,,,
Aug  2020 (IV),"13,450","31,300","75,550","15,600"
Aug  2020 (V),"13,450","31,650","78,000","15,600"
Sep  2020 (I),"13,450","31,700","76,700","15,600"
Sep  2020 (II),"13,450","31,800","80,000","15,600"
Sep  2020 (III),"13,450","30,950","76,450","15,600"
Sep  2020 (IV),"13,450","30,800","70,250","15,600"
Oct  2020 (I),"13,450","30,400","69,500","15,600"
Oct  2020 (II),"13,450","29,400","74,900","15,600"
Oct  2020 (III),"13,450","29,450","70,800","15,600"
Oct  2020 (IV),"13,450","30,450","62,750","15,800"
Nov  2020 (V),"13,450","31,000","69,400","15,800"
Nov  2020 (I),"13,450","31,150","84,050","15,800"
Nov  2020 (II),"13,450","30,450","69,700","15,750"
Nov  2020 (III),"13,450","30,550","72,200","15,750"
Nov  2020 (IV),"13,450","31,700","73,300","15,750"
Dec  2020 (I),"13,500","32,950","75,800","15,750"
Dec  2020 (II),"13,500","33,450","90,250","15,750"
Dec  2020 (III),"13,500","34,450","86,300","15,750"
Dec  2020 (IV),"13,500","35,150","79,450","15,750"
Jan  2021 (I),"13,500","35,650","74,550","15,850"
Jan  2021 (II),"13,500","33,650","71,400","15,800"
Jan  2021 (III),"13,500","32,800","72,000","15,800"
Jan  2021 (IV),"13,500","32,050","68,800","15,800"
Feb  2021 (V),"13,500","31,650","67,700","15,800"
Feb  2021 (I),"13,500","30,800","77,800","15,800"
Feb  2021 (II),"13,550","30,950","81,150","15,800"
Feb  2021 (III),"13,500","31,550","92,400","15,800"
Mar  2021 (V),"13,500","32,000","100,050","15,850"
Mar  2021 (I),"13,500","32,250","102,650","15,950"
Mar  2021 (II),"13,500","32,200","106,300","15,950"
Mar  2021 (III),"13,450","31,800","109,950","15,950"
Mar  2021 (IV),"13,300","31,450","116,650","16,050"
Apr  2021 (I),"13,300","30,800","111,650","16,050"
Apr  2021 (II),"13,300","30,550","107,550","16,050"
Apr  2021 (III),"13,300","30,900","105,300","16,050"
Apr  2021 (IV),"13,300","31,150","101,250","16,050"
