Komoditas ,Beras,Telur Ayam,Cabai Rawit,Minyak Goreng
Jan  2018 (I),13250,32250,38500,15700
Jan  2018 (II),13350,32500,38400,15700
Jan  2018 (III),13400,32150,36400,15650
Jan  2018 (IV),13500,31050,40000,15650
Feb  2018 (I),13500,30400,40550,15650
Feb  2018 (II),13450,29150,46800,15650
Feb  2018 (III),13450,29300,52150,15650
Feb  2018 (IV),13450,30000,54550,15650
Mar  2018 (I),13450,29900,65300,15650
Mar  2018 (II),13450,29750,78950,15650
Mar  2018 (III),13450,29500,73450,15650
Mar  2018 (IV),13450,29000,65900,15500
Apr  2018 (V),13450,28700,55750,15650
Apr  2018 (I),13450,28450,50900,15650
Apr  2018 (II),13450,28450,51150,15650
Apr  2018 (III),13500,30150,47000,15650
Apr  2018 (IV),13500,30400,49300,15650
May  2018 (I),13500,30500,46300,15650
May  2018 (II),13500,31250,48050,15650
May  2018 (III),13500,32800,64400,15650
May  2018 (IV),13500,33650,53650,15650
Jun  2018 (I),13500,33400,65700,15650
Jun  2018 (II),13600,32650,79400,15650
Jun  2018 (III),13600,31650,73450,15650
Jun  2018 (IV),13650,31300,67200,15650
Jul  2018 (V),13650,30050,72200,15650
Jul  2018 (I),13650,30000,75500,15650
Jul  2018 (II),13650,31650,76250,15650
Jul  2018 (III),13600,33750,74150,15700
Jul  2018 (IV),13650,34050,64250,15700
Aug  2018 (I),13650,33450,62650,15700
Aug  2018 (II),13650,32250,58050,15700
Aug  2018 (III),13650,31500,57750,15650
Aug  2018 (IV),13650,31200,58400,15650
Sep  2018 (I),13550,30700,53400,15650
Sep  2018 (II),13550,30900,50000,15650
Sep  2018 (III),13550,30500,46550,15600
Sep  2018 (IV),13600,30150,47500,15600
Oct  2018 (V),13650,29400,44650,15600
Oct  2018 (I),13650,29150,46050,15650
Oct  2018 (II),13650,29300,47150,15650
Oct  2018 (III),13600,29700,45450,15650
Oct  2018 (IV),13600,29900,46900,15550
Nov  2018 (I),13550,29700,46700,15600
Nov  2018 (II),13550,30050,52500,15600
Nov  2018 (III),13550,30000,61450,15600
Nov  2018 (IV),13550,30300,61200,15600
Dec  2018 (I),13550,31300,64000,15600
Dec  2018 (II),13550,32500,64400,15600
Dec  2018 (III),13550,33250,58800,15600
Dec  2018 (IV),13550,34150,76550,15600
Dec  2018 (V),13550,34050,66800,15600
Jan  2019 (I),13300,33650,60950,15550
Jan  2019 (II),13550,33500,53150,15450
Jan  2019 (III),13450,33200,45800,15450
Jan  2019 (IV),13500,32200,60250,15450
Feb  2019 (I),13500,31950,67550,15450
Feb  2019 (II),13500,31050,65650,15450
Feb  2019 (III),13500,31050,56550,15450
Feb  2019 (IV),13550,30800,51400,15450
Mar  2019 (I),13450,30800,52400,15450
Mar  2019 (II),13450,30800,58450,15400
Mar  2019 (III),13550,30550,60750,15300
Mar  2019 (IV),13450,30750,65000,15400
Apr  2019 (V),13450,30550,63300,15350
Apr  2019 (I),13500,30750,62500,15350
Apr  2019 (II),13500,31200,61250,15300
Apr  2019 (III),13500,30900,74700,15300
Apr  2019 (IV),13450,30750,62500,15300
May  2019 (I),13450,32650,70500,15300
May  2019 (II),13450,32950,62400,15300
May  2019 (III),13200,32950,64700,15150
May  2019 (IV),13150,32550,79400,15150
Jun  2019 (I),13300,32900,93450,15250
Jun  2019 (II),13250,32500,73750,15250
Jun  2019 (III),13200,31150,71250,15200
Jun  2019 (IV),13250,30450,71900,15150
Jul  2019 (V),13250,29950,67400,15150
Jul  2019 (I),13250,30900,65050,15150
Jul  2019 (II),13250,31150,70950,15150
Jul  2019 (III),13250,31000,84050,15150
Jul  2019 (IV),13250,30950,80300,15150
Aug  2019 (I),13250,30900,75750,15100
Aug  2019 (II),13250,30900,80300,15100
Aug  2019 (III),13250,30900,68150,15050
Aug  2019 (IV),13250,30950,68150,15150
Sep  2019 (V),13300,30800,69650,15150
Sep  2019 (I),13300,30650,62650,15150
Sep  2019 (II),13250,30700,63450,15150
Sep  2019 (III),13250,30500,58750,15150
Sep  2019 (IV),13250,30250,54050,15150
Oct  2019 (I),13250,30200,47200,15150
Oct  2019 (II),13250,29900,43650,15150
Oct  2019 (III),13250,29800,39050,15150
Oct  2019 (IV),13200,29400,36700,14900
Nov  2019 (I),13200,29400,46250,14900
Nov  2019 (II),13200,29800,64550,14900
Nov  2019 (III),13250,29750,58550,14850
Nov  2019 (IV),13250,31050,50000,20450
Dec  2019 (V),13250,31700,39050,14950
Dec  2019 (I),13250,32750,33000,14950
Dec  2019 (II),13250,32700,32150,15050
Dec  2019 (III),13250,32750,35300,15050
Dec  2019 (IV),13250,32950,28900,15050
Jan  2020 (I),13250,32150,26950,15050
Jan  2020 (II),13250,31950,27400,15050
Jan  2020 (III),13250,31300,28450,15150
Jan  2020 (IV),13250,30750,31950,15150
Feb  2020 (I),13250,30400,46050,15150
Feb  2020 (II),13250,30200,49800,15150
Feb  2020 (III),13250,30650,48150,15400
Feb  2020 (IV),13250,31650,47500,15400
Mar  2020 (V),13300,32450,36950,15400
Mar  2020 (I),13300,32900,29800,15250
Mar  2020 (II),13300,32500,32550,15250
Mar  2020 (III),13300,32500,31900,15250
Mar  2020 (IV),13300,33650,29000,15250
Apr  2020 (I),13350,35400,37200,15250
Apr  2020 (II),13350,46900,69050,15350
Apr  2020 (III),13250,36400,77900,15100
Apr  2020 (IV),13300,36150,98650,15150
May  2020 (I),13300,33400,110400,15150
May  2020 (II),13400,33000,95800,15400
May  2020 (III),13650,31900,67100,15650
May  2020 (IV),,,,
Jun  2020 (V),,,,
Jun  2020 (I),13450,29500,67300,15400
Jun  2020 (II),13450,29800,74650,15400
Jun  2020 (III),13450,30900,90950,14800
Jun  2020 (IV),13400,31000,88750,15450
Jul  2020 (I),13450,32250,75950,15400
Jul  2020 (II),13400,32400,77750,15500
Jul  2020 (III),13450,32800,71700,15400
Jul  2020 (IV),13450,32900,77700,15400
Aug  2020 (I),13450,32950,74050,15400
Aug  2020 (II),13450,32300,71900,15500
Aug  2020 (III),,,,
Aug  2020 (IV),13450,31300,75550,15600
Aug  2020 (V),13450,31650,78000,15600
Sep  2020 (I),13450,31700,76700,15600
Sep  2020 (II),13450,31800,80000,15600
Sep  2020 (III),13450,30950,76450,15600
Sep  2020 (IV),13450,30800,70250,15600
Oct  2020 (I),13450,30400,69500,15600
Oct  2020 (II),13450,29400,74900,15600
Oct  2020 (III),13450,29450,70800,15600
Oct  2020 (IV),13450,30450,62750,15800
Nov  2020 (V),13450,31000,69400,15800
Nov  2020 (I),13450,31150,84050,15800
Nov  2020 (II),13450,30450,69700,15750
Nov  2020 (III),13450,30550,72200,15750
Nov  2020 (IV),13450,31700,73300,15750
Dec  2020 (I),13500,32950,75800,15750
Dec  2020 (II),13500,33450,90250,15750
Dec  2020 (III),13500,34450,86300,15750
Dec  2020 (IV),13500,35150,79450,15750
Jan  2021 (I),13500,35650,74550,15850
Jan  2021 (II),13500,33650,71400,15800
Jan  2021 (III),13500,32800,72000,15800
Jan  2021 (IV),13500,32050,68800,15800
Feb  2021 (V),13500,31650,67700,15800
Feb  2021 (I),13500,30800,77800,15800
Feb  2021 (II),13550,30950,81150,15800
Feb  2021 (III),13500,31550,92400,15800
Mar  2021 (V),13500,32000,100050,15850
Mar  2021 (I),13500,32250,102650,15950
Mar  2021 (II),13500,32200,106300,15950
Mar  2021 (III),13450,31800,109950,15950
Mar  2021 (IV),13300,31450,116650,16050
Apr  2021 (I),13300,30800,111650,16050
Apr  2021 (II),13300,30550,107550,16050
Apr  2021 (III),13300,30900,105300,16050
Apr  2021 (IV),13300,31150,101250,16050
May  2021 (I),13300,33000,109400,16050
May  2021 (II),13300,32750,116900,15900
May  2021 (III),13300,32050,142050,15950
May  2021 (IV),13300,31650,108450,16100
May  2021 (V),13300,31050,97800,16100
Jun  2021 (I),13300,31650,98450,16000
Jun  2021 (II),13250,32150,95000,16150
Jun  2021 (III),13250,32150,95000,16150
Jun  2021 (IV),13250,32150,103450,16150
Jul  2021 (I),13250,31500,108400,16400
Jul  2021 (II),13200,31500,106400,16400
Jul  2021 (III),13200,30700,106250,16350
Jul  2021 (IV),13150,30450,97650,16350
Aug  2021 (V),13200,31000,85300,16350
Aug  2021 (I),13200,31550,78900,16550
Aug  2021 (II),13200,31800,76250,16700
Aug  2021 (III),13050,31200,69450,16950
Aug  2021 (IV),13050,31050,72800,16950
Sep  2021 (I),13050,30150,74700,16900
Sep  2021 (II),13050,30200,65650,16900
Sep  2021 (III),13050,30050,58750,16900
Sep  2021 (IV),13150,30800,55150,16850
Oct  2021 (I),13150,30000,60650,16850
Oct  2021 (II),13150,30150,58750,17000
Oct  2021 (III),13100,29900,55200,17000
Oct  2021 (IV),13100,30500,55650,17050
Nov  2021 (V),13150,29750,54250,17650
Nov  2021 (I),13150,30050,55300,17850
Nov  2021 (II),13150,30150,55150,18400
Nov  2021 (III),13150,31050,55000,18900
Nov  2021 (IV),13150,31750,56500,18900
Dec  2021 (I),13150,31900,67200,18950
Dec  2021 (II),13150,31800,79400,19300
Dec  2021 (III),13200,31650,83450,20150
Dec  2021 (IV),13200,33900,94050,20900
Jan  2022 (I),13200,33550,81900,20950
Jan  2022 (II),13200,35450,81250,20950
Jan  2022 (III),13200,34200,71250,20950
Jan  2022 (IV),13200,29300,69450,20950
Jan  2022 (V),13200,32650,64500,20300
Feb  2022 (I),13200,31400,65950,18150
Feb  2022 (II),13250,30550,66450,19400
Feb  2022 (III),13300,30150,88450,20500
Feb  2022 (IV),,,,
Mar  2022 (I),13300,31200,101650,20400
Mar  2022 (II),13300,31300,97200,20600
Mar  2022 (III),13300,32250,98300,24500
